read_2,bnf_code,dmd_code,drug_name,insulin,hypo,metformin,aspirin,antiplatelet,anticoagulant,statin
NA,06.01.01.03.00,NA,Hypodermic needle sterile single use 0.4mm/27gauge 12mm,1,,,,,,
NA,06.01.01.04.00,NA,Hypodermic syringe ordinary purpose glass reusable 1ml,1,,,,,,
NA,06.01.01.04.00,NA,Hypodermic syringe ordinary purpose glass reusable 2ml,1,,,,,,
ph21.00,NA,5.63E+16,HYPODERMIC U100 INSULIN 0.5mL,1,,,,,,
NA,91.02.00.00.00,NA,Hypodermic U100 insulin syringe glass reusable 1ml,1,,,,,,
NA,71190300,NA,Hypodermic U100 insulin syringe sterile single use / sing...,1,,,,,,
NA,NA,3.48E+15,Hypodermic U100 insulin syringe sterile single use / sing...,1,,,,,,
NA,NA,3.48E+15,Hypodermic U100 insulin syringe sterile single use / sing...,1,,,,,,
ph3J.00,NA,3.48E+15,Hypodermic U100 insulin syringe sterile single use / sing...,1,,,,,,
NA,06.01.01.03.00,NA,Hypodermic U100 insulin syringe sterile single use / single patient use 0.3ml with 12mm needle 0.33mm/29gauge,1,,,,,,
NA,91.02.00.00.00,NA,Hypodermic U100 insulin syringe sterile single use / single patient use 0.3ml with 8mm needle 0.3mm/30gauge,1,,,,,,
NA,NA,3.48E+15,Hypodermic U100 insulin syringe sterile single use / single patient use 0.3ml with 8mm needle 0.3mm/30gauge,1,,,,,,
ph3J.00,NA,3.48E+15,Hypodermic U100 insulin syringe sterile single use / single patient use 0.3ml with 8mm needle 0.3mm/30gauge,1,,,,,,
NA,91.02.00.00.00,NA,Hypodermic U100 insulin syringe sterile single use / single patient use 0.3ml with 8mm safety needle 0.3mm/30gauge,1,,,,,,
NA,06.01.01.04.00,NA,Hypodermic U100 insulin syringe sterile single use / single patient use 0.5ml with 12mm needle 0.36mm/28gauge,1,,,,,,
NA,NA,3.48E+15,Hypodermic U100 insulin syringe sterile single use / single patient use 0.5ml with 12mm needle 0.36mm/28gauge,1,,,,,,
NA,06.01.01.03.00,NA,Hypodermic U100 insulin syringe sterile single use / single patient use 0.5ml with 12mm needle 0.4mm/27gauge,1,,,,,,
NA,91.06.00.00.00,NA,Hypodermic U100 insulin syringe sterile single use / single patient use 0.5ml with 12mm safety needle 0.33mm/29gauge,1,,,,,,
NA,91.02.00.00.00,NA,Hypodermic U100 insulin syringe sterile single use / single patient use 0.5ml with 8mm needle 0.3mm/30gauge,1,,,,,,
NA,NA,3.48E+15,Hypodermic U100 insulin syringe sterile single use / single patient use 0.5ml with 8mm needle 0.3mm/30gauge,1,,,,,,
ph3K.00,NA,3.48E+15,Hypodermic U100 insulin syringe sterile single use / single patient use 0.5ml with 8mm needle 0.3mm/30gauge,1,,,,,,
NA,91.06.00.00.00,NA,Hypodermic U100 insulin syringe sterile single use / single patient use 0.5ml with not less than 12mm needle 0.33mm/29gauge,1,,,,,,
ph3P.00,NA,3.48E+15,Hypodermic U100 insulin syringe sterile single use / single patient use 0.5ml with not less than 12mm needle 0.33mm/29gauge,1,,,,,,
NA,06.01.01.04.00,NA,Hypodermic U100 insulin syringe sterile single use / single patient use 1ml with 12mm needle 0.36mm/28gauge,1,,,,,,
NA,06.01.01.03.00,NA,Hypodermic U100 insulin syringe sterile single use / single patient use 1ml with 12mm needle 0.4mm/27gauge,1,,,,,,
NA,06.01.01.04.00,NA,Hypodermic U100 insulin syringe sterile single use / single patient use 1ml with 12mm safety needle 0.33mm/29gauge,1,,,,,,
NA,91.02.00.00.00,NA,Hypodermic U100 insulin syringe sterile single use / single patient use 1ml with 8mm needle 0.3mm/30gauge,1,,,,,,
NA,06.01.01.04.00,NA,Hypodermic U100 insulin syringe sterile single use / single patient use 1ml with not less than 12mm needle 0.33mm/29gauge,1,,,,,,
NA,06.01.01.02.00,NA,Hypurin Bovine Isophane 100units/ml suspension for injection 10ml vials (Wockhardt UK Ltd),1,,,,,,
NA,06.01.01.02.00,NA,HYPURIN BOVINE ISOPHANE injection 100 units/ml [CP PHARM],1,,,,,,
NA,06.01.01.02.00,NA,Hypurin Bovine Lente 100units/ml suspension for injection 10ml vials (Wockhardt UK Ltd),1,,,,,,
NA,06.01.03.00.00,NA,Hypurin Bovine Neutral 100units/ml solution for injection 10ml vials (Wockhardt UK Ltd),1,,,,,,
NA,06.01.01.01.00,NA,HYPURIN BOVINE NEUTRAL injection 100 units/ml [CP PHARM],1,,,,,,
NA,06.01.01.02.00,NA,Hypurin Bovine Protamine Zinc 100units/ml suspension for injection 10ml vials (Wockhardt UK Ltd),1,,,,,,
f27Y.00,NA,3.28E+15,Hypurin Porcine 30/70 Mix 100units/ml suspension for injection 1.5ml cartridges (C P Pharmaceuticals Ltd),1,,,,,,
f27X.00,NA,3.27E+15,Hypurin Porcine 30/70 Mix 100units/ml suspension for injection 10ml vials (Wockhardt UK Ltd),1,,,,,,
NA,06.01.01.02.00,NA,Hypurin Porcine 30/70 Mix 100units/ml suspension for injection 10ml vials (Wockhardt UK Ltd),1,,,,,,
f27Y.00,NA,4.03E+15,Hypurin Porcine 30/70 Mix 100units/ml suspension for injection 3ml cartridges (Wockhardt UK Ltd),1,,,,,,
NA,06.01.01.02.00,NA,Hypurin Porcine 30/70 Mix 100units/ml suspension for injection 3ml cartridges (Wockhardt UK Ltd),1,,,,,,
NA,6010102,NA,Hypurin Porcine 30/70 Mix Cartridge 3ml INJ 100UNITS/ML,1,,,,,,
f27Y.00,NA,4.03E+15,HYPURIN PORCINE 30/70 MIX CARTRIDGE inj susp 100 units/ml,1,,,,,,
f27Y.00,NA,3.28E+15,HYPURIN PORCINE 30/70 MIX inj 100 iu/ml,1,,,,,,
f27X.00,NA,3.27E+15,HYPURIN PORCINE 30/70 MIX VIAL inj susp 100 units/ml,1,,,,,,
f25w.,6010102,NA,Hypurin Porcine Isophane 100units/ml suspension for injec...,1,,,,,,
f25w.00,NA,3.28E+15,Hypurin Porcine Isophane 100units/ml suspension for injection 1.5ml cartridges (C P Pharmaceuticals Ltd),1,,,,,,
NA,06.01.01.02.00,NA,Hypurin Porcine Isophane 100units/ml suspension for injection 10ml vials (Wockhardt UK Ltd),1,,,,,,
NA,06.01.01.02.00,NA,Hypurin Porcine Isophane 100units/ml suspension for injection 3ml cartridges (Wockhardt UK Ltd),1,,,,,,
NA,6010102,NA,Hypurin Porcine Isophane Cartridge 3ml INJ 100UNITS/ML,1,,,,,,
f25w.00,NA,3.28E+15,HYPURIN PORCINE ISOPHANE inj 100 units/ml,1,,,,,,
NA,06.01.01.02.00,NA,HYPURIN PORCINE ISOPHANE injection 100 units/ml [WOCKHARDT],1,,,,,,
f12T.00,NA,2.27E+17,Hypurin porcine neutral 100unit/ml Injection (C P Pharmaceuticals Ltd),1,,,,,,
f12I.,6010101,NA,Hypurin Porcine Neutral 100units/ml solution for injectio...,1,,,,,,
f12I.00,NA,3.29E+15,Hypurin Porcine Neutral 100units/ml solution for injectio...,1,,,,,,
f12I.00,NA,3.29E+15,Hypurin Porcine Neutral 100units/ml solution for injection 10ml vials (Wockhardt UK Ltd),1,,,,,,
NA,06.01.03.00.00,NA,Hypurin Porcine Neutral 100units/ml solution for injection 10ml vials (Wockhardt UK Ltd),1,,,,,,
f12T.00,NA,4.03E+15,Hypurin Porcine Neutral 100units/ml solution for injection 3ml cartridges (Wockhardt UK Ltd),1,,,,,,
NA,06.01.03.00.00,NA,Hypurin Porcine Neutral 100units/ml solution for injection 3ml cartridges (Wockhardt UK Ltd),1,,,,,,
NA,6010101,NA,Hypurin Porcine Neutral Cartridge 3ml INJ 100UNITS/ML,1,,,,,,
f12T.00,NA,2.27E+17,HYPURIN PORCINE NEUTRAL inj 100 units/ml,1,,,,,,
NA,06.01.01.01.00,NA,HYPURIN PORCINE NEUTRAL injection 100 units/ml [CP PHARM],1,,,,,,
f12I.00,NA,3.29E+15,HYPURIN PORCINE NEUTRAL VIAL inj soln 100 units/ml,1,,,,,,
pm1J.00,NA,5.05E+14,Innovo green insulin pen 3ml/1-70 units [NOVO],1,,,,,,
NA,06.01.01.03.00,NA,Innovo hypodermic insulin injection pen reusable for 3ml cartridge 1 unit dial up / range 1-70 units Green (Novo Nordisk Ltd),1,,,,,,
NA,06.01.01.04.00,NA,Innovo hypodermic insulin injection pen reusable for 3ml cartridge 1 unit dial up / range 1-70 units Orange (Novo Nordisk Ltd),1,,,,,,
NA,NA,2.99E+17,INS HUMULIN I 100U/ML 10ML VL,1,,,,,,
NA,6010102,NA,Insulatard  Injection  100 units/ml  10 ml vial,1,,,,,,
NA,NA,2.99E+17,INSULATARD (HUMAN) PENFILL 3mL,1,,,,,,
f25p.00,NA,5.66E+16,Insulatard 100iu/ml GE injection (Novo Nordisk Ltd),1,,,,,,
NA,NA,5.66E+16,Insulatard 100iu/ml GE injection (Novo Nordisk Ltd),1,,,,,,
f25p.,6010102,NA,Insulatard 100units/ml suspension for injection 10ml vial...,1,,,,,,
f25p.00,NA,3.26E+15,Insulatard 100units/ml suspension for injection 10ml vials (Novo Nordisk Ltd),1,,,,,,
NA,06.01.01.02.00,NA,Insulatard 100units/ml suspension for injection 10ml vials (Novo Nordisk Ltd),1,,,,,,
f25D.00,NA,3.26E+15,Insulatard FlexPen 100units/ml suspension for injection (Novo Nordisk Ltd),1,,,,,,
NA,06.01.01.02.00,NA,Insulatard FlexPen 100units/ml suspension for injection (Novo Nordisk Ltd),1,,,,,,
f25D.00,NA,3.26E+15,INSULATARD FLEXPEN inj 100 iu/ml,1,,,,,,
NA,6010102,NA,Insulatard Flexpen Prefilled Pen 3ml INJ 100UNITS/ML,1,,,,,,
f25p.00,NA,5.66E+16,INSULATARD ge inj 100 iu/ml,1,,,,,,
NA,NA,5.66E+16,INSULATARD ge inj 100 iu/ml,1,,,,,,
NA,06.01.01.02.00,NA,INSULATARD ge injection 100 units/ml [NOVO],1,,,,,,
NA,6010102,NA,INSULATARD HUMAN (INSULIN) 3ML CARTRIDGE,1,,,,,,
NA,06.01.01.02.00,NA,INSULATARD injection 100 units/ml [NOVO],1,,,,,,
NA,6010102,NA,Insulatard Innolet  Suspension For Injection  100 units/ml  3 ml pre-filled pen,1,,,,,,
f25C.,6010102,NA,Insulatard InnoLet 100units/ml suspension for injection 3...,1,,,,,,
f25C.00,NA,3.26E+15,Insulatard InnoLet 100units/ml suspension for injection 3...,1,,,,,,
f25C.00,NA,3.26E+15,Insulatard InnoLet 100units/ml suspension for injection 3ml pre-filled pen (Novo Nordisk Ltd),1,,,,,,
NA,06.01.01.02.00,NA,Insulatard InnoLet 100units/ml suspension for injection 3ml pre-filled pen (Novo Nordisk Ltd),1,,,,,,
f25C.00,NA,2.19E+17,INSULATARD INNOLET inj 100 iu/ml,1,,,,,,
f25C.00,NA,3.26E+15,INSULATARD INNOLET inj susp 100 units/ml,1,,,,,,
NA,06.01.01.02.00,NA,INSULATARD INNOLET injection 100 units/ml [NOVO],1,,,,,,
NA,NA,2.99E+17,Insulatard insulin penfills [human] cartridge 1.5ml,1,,,,,,
f25m.00,NA,3.26E+15,INSULATARD NOVOLET 100 iu/ml,1,,,,,,
f25m.00,NA,3.26E+15,Insulatard NovoLet 100units/ml suspension for injection (Novo Nordisk Ltd),1,,,,,,
NA,06.01.01.02.00,NA,Insulatard NovoLet 100units/ml suspension for injection (Novo Nordisk Ltd),1,,,,,,
NA,6010102,NA,Insulatard Penfill  Injection  100 units/ml  3 ml cartridge,1,,,,,,
f25x.00,NA,5.66E+16,Insulatard penfill 100 100iu/ml Penfill (Novo Nordisk Ltd),1,,,,,,
NA,NA,5.66E+16,Insulatard penfill 100 100iu/ml Penfill (Novo Nordisk Ltd),1,,,,,,
f25x.00,NA,5.66E+16,INSULATARD PENFILL 100 iu/ml,1,,,,,,
NA,NA,5.66E+16,INSULATARD PENFILL 100 iu/ml,1,,,,,,
NA,06.01.01.02.00,NA,INSULATARD PENFILL 100 units/ml [NOVO],1,,,,,,
f25x.,6010102,NA,Insulatard Penfill 100units/ml suspension for injection 3...,1,,,,,,
f25x.00,NA,3.26E+15,Insulatard Penfill 100units/ml suspension for injection 3...,1,,,,,,
f25x.00,NA,3.26E+15,Insulatard Penfill 100units/ml suspension for injection 3ml cartridges (Novo Nordisk Ltd),1,,,,,,
NA,06.01.01.02.00,NA,Insulatard Penfill 100units/ml suspension for injection 3ml cartridges (Novo Nordisk Ltd),1,,,,,,
NA,6010102,NA,Insulatard Penfill 3ml INJ 100UNITS/ML,1,,,,,,
f25x.00,NA,3.26E+15,INSULATARD PENFILL inj susp 100 units/ml,1,,,,,,
f25p.00,NA,3.26E+15,INSULATARD VIAL inj susp 100 units/ml,1,,,,,,
NA,NA,3.47E+15,INSULI BIPHASI ISOPHAN PORCIN VIA inj sus 30:70; 100units/ml,1,,,,,,
NA,NA,1.79E+17,Insulin 0.5ml disposable syringe,1,,,,,,
NA,NA,2.99E+17,INSULIN 0.5mL syrg+12mm needle,1,,,,,,
NA,91.02.00.00.00,NA,insulin 1 ml syringe,1,,,,,,
NA,NA,2.99E+17,insulin 1 ml syringe,1,,,,,,
f12B.00,NA,3.29E+15,INSULIN ACTRAPID PEN INJ,1,,,,,,
f12B.00,NA,3.29E+15,INSULIN ACTRAPID PRELOADED PEN 5X3ML INJ,1,,,,,,
NA,06.01.01.01.00,NA,Insulin aspart 100units/ml solution for injection 10ml vials,1,,,,,,
f14z.00,NA,3.47E+15,Insulin aspart 100units/ml solution for injection 3ml cartridges,1,,,,,,
NA,06.01.01.01.00,NA,Insulin aspart 100units/ml solution for injection 3ml cartridges,1,,,,,,
f14w.00,NA,3.47E+15,Insulin aspart 100units/ml solution for injection 3ml pre-filled disposable devices,1,,,,,,
NA,06.01.01.01.00,NA,Insulin aspart 100units/ml solution for injection 3ml pre-filled disposable devices,1,,,,,,
NA,06.01.01.02.00,NA,Insulin aspart biphasic 30/70 100units/ml suspension for injection 3ml cartridges,1,,,,,,
NA,06.01.01.02.00,NA,Insulin aspart biphasic 30/70 100units/ml suspension for injection 3ml pre-filled disposable devices,1,,,,,,
f14w.00,NA,3.47E+15,INSULIN ASPART DISPOSABLE PEN inj soln 100 units/ml,1,,,,,,
f14z.00,NA,2.17E+17,Insulin aspart human pyr 100 iu/ml Injection,1,,,,,,
NA,NA,2.17E+17,Insulin aspart human pyr 100 iu/ml Injection,1,,,,,,
f14z.00,NA,2.17E+17,INSULIN ASPART HUMAN PYR inj 100 iu/ml,1,,,,,,
NA,NA,2.17E+17,INSULIN ASPART HUMAN PYR inj 100 iu/ml,1,,,,,,
NA,06.01.01.01.00,NA,insulin aspart human pyr injection 100 units/ml,1,,,,,,
NA,06.01.01.02.00,NA,insulin biphasic injection 100 units/ml,1,,,,,,
NA,NA,2.15E+17,Insulin biphasic isophane human prb 30:70; 100 units/ml Injection,1,,,,,,
NA,06.01.01.02.00,NA,insulin biphasic isophane human prb injection 30:70; 100 units/ml,1,,,,,,
f27p.00,NA,2.15E+17,Insulin biphasic isophane human pyr 30:70; 100 units/ml Injection,1,,,,,,
f27p.00,NA,2.15E+17,INSULIN BIPHASIC ISOPHANE HUMAN PYR inj 30:70; 100u/ml,1,,,,,,
NA,06.01.01.02.00,NA,insulin biphasic isophane human pyr injection 30:70; 100 units/ml,1,,,,,,
NA,NA,2.99E+17,INSULIN BIPHASIC ISOPHANE HUMAN PYR injection 40:60; 100u/ml,1,,,,,,
NA,NA,2.99E+17,Insulin biphasic isophane human pyr injection 40:60; 100u/ml,1,,,,,,
NA,NA,2.20E+17,Insulin biphasic lispro human prb 50:50; 100 units/ml Injection,1,,,,,,
NA,NA,2.20E+17,INSULIN BIPHASIC LISPRO HUMAN PRB inj 50:50; 100u/ml,1,,,,,,
NA,06.01.01.02.00,NA,insulin biphasic lispro human prb injection 25:75; 100 units/ml,1,,,,,,
NA,06.01.01.02.00,NA,insulin biphasic lispro human prb injection 50:50; 100 units/ml,1,,,,,,
NA,NA,2.19E+16,Insulin degludec 100units/ml solution for injection 3ml c...,1,,,,,,
NA,NA,2.19E+16,Insulin degludec 100units/ml solution for injection 3ml p...,1,,,,,,
NA,06.01.01.02.00,NA,Insulin degludec 100units/ml solution for injection 3ml pre-filled disposable devices,1,,,,,,
NA,NA,2.19E+16,Insulin degludec 100units/ml solution for injection 3ml pre-filled disposable devices,1,,,,,,
NA,6010102,NA,Insulin degludec 200units/ml solution for injection 3ml p...,1,,,,,,
NA,06.01.01.02.00,NA,Insulin degludec 200units/ml solution for injection 3ml pre-filled disposable devices,1,,,,,,
NA,6010102,NA,Insulin Detemir  Solution for injection  100 units/ml  3 ml pre-filled pen,1,,,,,,
f2Az.00,NA,2.38E+17,Insulin detemir 100 iu/ml Solution for injection,1,,,,,,
f2Az.00,NA,7.60E+15,Insulin detemir 100units/ml solution for injection 3ml ca...,1,,,,,,
f2Az.00,NA,7.60E+15,Insulin detemir 100units/ml solution for injection 3ml cartridges,1,,,,,,
NA,06.01.01.02.00,NA,Insulin detemir 100units/ml solution for injection 3ml cartridges,1,,,,,,
f2Ay.00,NA,7.59E+15,Insulin detemir 100units/ml solution for injection 3ml pr...,1,,,,,,
f2Ay.00,NA,7.59E+15,Insulin detemir 100units/ml solution for injection 3ml pre-filled disposable devices,1,,,,,,
NA,06.01.01.02.00,NA,Insulin detemir 100units/ml solution for injection 3ml pre-filled disposable devices,1,,,,,,
f2Az.00,NA,7.60E+15,INSULIN DETEMIR CARTRIDGE inj soln 100 units/ml,1,,,,,,
f2Ay.00,NA,7.59E+15,INSULIN DETEMIR DISPOSABLE PEN inj soln 100 units/ml,1,,,,,,
f2Az.00,NA,2.38E+17,INSULIN DETEMIR inj soln 100 iu/ml,1,,,,,,
NA,06.01.01.02.00,NA,insulin detemir injection solution 100 units/ml,1,,,,,,
NA,NA,2.99E+17,INSULIN DISP 0.3mL/U100syringe,1,,,,,,
NA,NA,1.79E+17,INSULIN DISPOSABLE 0.5mL/U100 syringe,1,,,,,,
NA,NA,2.99E+17,INSULIN DISPOSABLE-0.5ML 1xU100 syringe,1,,,,,,
NA,6010102,NA,Insulin Glargine  Injection  100 units/ml  3 ml cartridge,1,,,,,,
f293.00,NA,2.08E+17,Insulin glargine 100iu/ml Injection,1,,,,,,
NA,NA,2.08E+17,Insulin glargine 100iu/ml Injection,1,,,,,,
f292.00,NA,400847007,Insulin glargine 100units/ml solution for injection 10ml ...,1,,,,,,
f292.00,NA,400847007,Insulin glargine 100units/ml solution for injection 10ml vials,1,,,,,,
NA,06.01.01.02.00,NA,Insulin glargine 100units/ml solution for injection 10ml vials,1,,,,,,
f291.,6010102,NA,Insulin glargine 100units/ml solution for injection 3ml c...,1,,,,,,
f291.00,NA,400780006,Insulin glargine 100units/ml solution for injection 3ml c...,1,,,,,,
f291.00,NA,400780006,Insulin glargine 100units/ml solution for injection 3ml cartridges,1,,,,,,
NA,06.01.01.02.00,NA,Insulin glargine 100units/ml solution for injection 3ml cartridges,1,,,,,,
f293.00,NA,400877001,Insulin glargine 100units/ml solution for injection 3ml p...,1,,,,,,
f293.00,NA,400877001,Insulin glargine 100units/ml solution for injection 3ml pre-filled disposable devices,1,,,,,,
NA,06.01.01.02.00,NA,Insulin glargine 100units/ml solution for injection 3ml pre-filled disposable devices,1,,,,,,
NA,06.01.01.02.00,NA,Insulin glargine 300units/ml solution for injection 1.5ml pre-filled disposable devices,1,,,,,,
f291.00,NA,400780006,INSULIN GLARGINE CARTRIDGE inj soln 100 units/ml,1,,,,,,
f293.00,NA,400877001,INSULIN GLARGINE DISPOSABLE PEN inj soln 100 units/ml,1,,,,,,
f293.00,NA,2.08E+17,INSULIN GLARGINE inj 100 iu/ml,1,,,,,,
NA,NA,2.08E+17,INSULIN GLARGINE inj 100 iu/ml,1,,,,,,
f293.00,NA,2.08E+17,Insulin glargine injection 100 iu/ml,1,,,,,,
f293.00,NA,2.08E+17,INSULIN GLARGINE injection 100 iu/ml,1,,,,,,
NA,06.01.01.02.00,NA,insulin glargine injection 100 units/ml,1,,,,,,
f292.00,NA,400847007,INSULIN GLARGINE VIAL inj soln 100 units/ml,1,,,,,,
NA,06.01.01.01.00,NA,Insulin glulisine 100units/ml solution for injection 3ml pre-filled disposable devices,1,,,,,,
f25b.00,NA,8.35E+16,INSULIN HUM/ACTRAPHANE INJ 100I/U,1,,,,,,
f12B.00,NA,1.41E+16,INSULIN HUM/ACTRAPID INJ 100I/U,1,,,,,,
f12B.00,NA,1.41E+16,INSULIN HUMAN ACTRAP INJ 100,1,,,,,,
f12J.00,NA,8.36E+16,INSULIN HUMAN ACTRAP INJ 100,1,,,,,,
f12B.00,NA,1.41E+16,INSULIN HUMAN ACTRAPID (NEUTRAL) INJ 100I/U,1,,,,,,
f12J.00,NA,8.36E+16,INSULIN HUMAN ACTRAPID PENFILL INJ 100,1,,,,,,
f27h.00,NA,1.50E+16,INSULIN HUMAN INITAR INJ 100,1,,,,,,
f25p.00,NA,5.66E+16,INSULIN HUMAN INSULA INJ,1,,,,,,
f25x.00,NA,5.66E+16,INSULIN HUMAN INSULA INJ,1,,,,,,
f25p.00,NA,5.66E+16,INSULIN HUMAN INSULA INJ 100,1,,,,,,
f25p.00,NA,5.66E+16,INSULIN HUMAN INSULATARD GE INJ,1,,,,,,
f25p.00,NA,5.66E+16,INSULIN HUMAN INSULATARD INJ 100I/U,1,,,,,,
f25m.00,NA,3.26E+15,INSULIN HUMAN INSULATARD PEN INJ,1,,,,,,
f27H.00,NA,2.11E+17,INSULIN HUMAN MIXTAR INJ,1,,,,,,
f27P.00,NA,3.27E+15,INSULIN HUMAN MIXTAR INJ,1,,,,,,
f27Q.00,NA,3.27E+15,INSULIN HUMAN MIXTAR INJ,1,,,,,,
f283.00,NA,2.11E+17,INSULIN HUMAN MIXTAR INJ,1,,,,,,
f27j.00,NA,5.67E+16,INSULIN HUMAN MIXTAR INJ 100,1,,,,,,
f27P.00,NA,3.27E+15,INSULIN HUMAN MIXTARD 10 PEN INJ,1,,,,,,
f27Q.00,NA,3.27E+15,INSULIN HUMAN MIXTARD 20 PEN INJ,1,,,,,,
f27R.00,NA,3.27E+15,INSULIN HUMAN MIXTARD 30 PEN INJ,1,,,,,,
f283.00,NA,2.11E+17,INSULIN HUMAN MIXTARD 30 PENFILL INJ,1,,,,,,
f27j.00,NA,5.67E+16,INSULIN HUMAN MIXTARD 30/70 INJ 100I/U,1,,,,,,
f27T.00,NA,3.28E+15,INSULIN HUMAN MIXTARD 50 PEN INJ,1,,,,,,
f259.00,NA,4.87E+16,INSULIN HUMAN PROTAPHANE INJ 100I/U,1,,,,,,
f241.00,NA,3.28E+15,INSULIN HUMAN ULTRATARD ZINC/SUSP.CRYSTA INJ 100I/U,1,,,,,,
NA,NA,1.14E+17,INSULIN HUMAN VELOSULIN INJ 100I/U,1,,,,,,
f25o.00,NA,1.42E+16,INSULIN HUMULIN I (I 100,1,,,,,,
NA,NA,1.14E+17,INSULIN HUMULIN I (ISOPHANE) 100 I/U INJ,1,,,,,,
f25o.00,NA,1.42E+16,INSULIN HUMULIN I (ISOPHANE) CARTRIDGE 100,1,,,,,,
NA,NA,1.14E+17,INSULIN HUMULIN I (ISOPHANE) INJ 100,1,,,,,,
NA,NA,1.14E+17,INSULIN HUMULIN I (ISOPHANE) INJ 100I/U,1,,,,,,
f28D.00,NA,9.20E+16,INSULIN HUMULIN M3 INJ 100I/U,1,,,,,,
NA,NA,9.89E+16,INSULIN HUMULIN S (N 100,1,,,,,,
f12s.00,NA,1.43E+16,INSULIN HUMULIN S (N INJ 100,1,,,,,,
f12s.00,NA,1.43E+16,INSULIN HUMULIN S (NEUTRAL SOLUBLE) INJ 100I/U,1,,,,,,
f242.00,NA,3.28E+15,INSULIN HUMULIN ZN ( INJ 100,1,,,,,,
f242.00,NA,3.28E+15,INSULIN HUMULIN ZN (ZINC SUSP CRYSTALLIN INJ 100I/U,1,,,,,,
f12T.00,NA,2.27E+17,INSULIN HYPURIN PORC INJ 100,1,,,,,,
f25w.00,NA,3.28E+15,INSULIN HYPURIN PORC INJ 100,1,,,,,,
f25w.00,NA,3.28E+15,INSULIN HYPURIN PORCINE ISOPHANE INJ 100,1,,,,,,
NA,NA,1.91E+17,INSULIN ISOPHANE (HUMAN) 100 I/U INJ,1,,,,,,
NA,NA,1.91E+17,INSULIN ISOPHANE (HUMAN) INJ 100I/U,1,,,,,,
NA,06.01.01.02.00,NA,Insulin isophane biphasic human 30/70 100units/ml suspension for injection 10ml vials,1,,,,,,
NA,06.01.01.02.00,NA,Insulin isophane biphasic human 30/70 100units/ml suspension for injection 3ml pre-filled disposable devices,1,,,,,,
NA,06.01.01.02.00,NA,insulin isophane biphasic human crb injection 25:75; 100 units/ml,1,,,,,,
f25w.00,NA,3.47E+15,Insulin isophane biphasic porcine 30/70 100units/ml suspe...,1,,,,,,
NA,NA,3.47E+15,Insulin isophane biphasic porcine 30/70 100units/ml suspe...,1,,,,,,
f25w.00,NA,3.47E+15,Insulin isophane biphasic porcine 30/70 100units/ml suspension for injection 10ml vials,1,,,,,,
NA,NA,3.47E+15,Insulin isophane biphasic porcine 30/70 100units/ml suspension for injection 10ml vials,1,,,,,,
f25W.00,NA,3.47E+15,Insulin isophane human 100units/ml suspension for injection 1.5ml cartridges,1,,,,,,
NA,06.01.01.02.00,NA,Insulin isophane human 100units/ml suspension for injection 1.5ml cartridges,1,,,,,,
NA,06.01.01.02.00,NA,Insulin isophane human 100units/ml suspension for injection 3ml cartridges,1,,,,,,
NA,06.01.01.02.00,NA,insulin isophane human emp injection 100 units/ml,1,,,,,,
NA,06.01.01.02.00,NA,insulin isophane human injection 100 units/ml,1,,,,,,
NA,06.01.01.02.00,NA,insulin isophane human prb injection 100 units/ml,1,,,,,,
f25W.00,NA,3.47E+15,INSULIN ISOPHANE HUMAN PYR inj 100 iu/ml,1,,,,,,
f25W.00,NA,3.47E+15,INSULIN ISOPHANE HUMAN PYR inj 100 units/ml,1,,,,,,
NA,06.01.01.02.00,NA,Insulin isophane porcine 100units/ml suspension for injection 3ml cartridges,1,,,,,,
NA,06.01.01.02.00,NA,insulin isophane porcine injection 100 units/ml,1,,,,,,
f136.00,NA,371496005,Insulin lispro 100units/ml solution for injection 1.5ml cartridges,1,,,,,,
NA,06.01.01.01.00,NA,Insulin lispro 100units/ml solution for injection 10ml vials,1,,,,,,
f133.00,NA,325067006,Insulin lispro 100units/ml solution for injection 3ml car...,1,,,,,,
f133.00,NA,325067006,Insulin lispro 100units/ml solution for injection 3ml cartri,1,,,,,,
f133.00,NA,325067006,Insulin lispro 100units/ml solution for injection 3ml cartridges,1,,,,,,
NA,06.01.01.01.00,NA,Insulin lispro 100units/ml solution for injection 3ml cartridges,1,,,,,,
NA,06.01.01.01.00,NA,Insulin lispro 100units/ml solution for injection 3ml pre-filled disposable devices,1,,,,,,
NA,06.01.01.02.00,NA,Insulin lispro biphasic 25/75 100units/ml suspension for injection 3ml cartridges,1,,,,,,
f133.00,NA,325067006,INSULIN LISPRO CARTRIDGE inj soln 100 units/ml,1,,,,,,
f136.00,NA,371496005,INSULIN LISPRO HUMAN PRB inj 100 iu/ml,1,,,,,,
f136.00,NA,371496005,Insulin lispro human prb injection 100 iu/ml,1,,,,,,
NA,06.01.01.01.00,NA,insulin lispro human prb injection 100 units/ml,1,,,,,,
f27V.00,NA,3.27E+15,INSULIN MIXTARD 30/7 INJ 100,1,,,,,,
NA,06.01.03.00.00,NA,insulin neutral human injection 100 units/ml,1,,,,,,
f231.00,NA,2.83E+16,INSULIN NOVO SEMITARD MC INJ 100I/U,1,,,,,,
f27l.00,NA,1.65E+17,INSULIN PENMIX 10/90 INJ,1,,,,,,
f27m.00,NA,1.65E+17,INSULIN PENMIX 20/80 INJ,1,,,,,,
